name,maj_axis,min_axis,mag,cat_num,in_maj,in_min
MCG-05-47-006,  5.00,  3.00,   15.0,,2,2
MCG-05-08-006, 10.00, 10.00,   14.0,,3,3
MCG-05-25-015, 12.00,  4.00,   15.0,,2,2
MCG-05-22-006,  6.00,  4.00,   16.0,,1,1
MCG-05-07-021, 10.00,  6.00,   14.0,,4,3
MCG-05-01-010,  6.00,  4.00,   15.0,,2,1.5
MCG-05-13-016, 25.00, 20.00,   14.0,NGC 1879,12,4
MCG-05-15-003,  6.00,  5.00,   15.0,,2,1.5
MCG-05-45-003, 16.00,  4.00,   14.0,,0,0
MCG-05-32-015,  8.00,  2.00,   15.0,,4,2
MCG-05-47-018, 12.00,  3.00,   15.0,,2,1.5
MCG-05-08-009, 24.00, 10.00,   13.0,NGC 1165,14,3
MCG-05-47-007,  8.00,  4.00,   16.0,,3,2
MCG-05-55-009,  4.00,  2.00,   16.0,,0,0
MCG-05-31-043, 11.00,  5.50,   13.0,IC 4214,4,3
MCG-05-55-025,  4.00,  4.00,   15.0,,2,2
MCG-05-49-009,  6.00,  4.00,   15.0,,0,0
MCG-05-03-013,  0.00,  0.00,   15.0,,2,1
MCG-05-52-014,  8.00,  2.00,   15.0,,3,1
MCG-05-04-007,  4.00,  2.50,   15.0,NGC  427,0,0
MCG-05-03-014,  5.00,  5.00,   15.0,,3,3
MCG-05-52-011,  0.00,  0.00,   13.0,NGC 7176,4,4
MCG-05-52-010,  8.00,  5.00,   12.0,NGC 7174,0,0
MCG-05-33-047, 10.00,  8.00,   15.0,,1.5,1.5
MCG-05-29-021, 20.00,  2.00,   15.0,,5,2
MCG-05-29-019,  9.00,  9.00,   16.0,,1.5,1.5
MCG-05-04-040,  5.00,  3.00,   15.0,,0,0
MCG-05-52-008,  0.00,  0.00,   13.0,NGC 7173,5,4
MCG-05-52-021,  9.00,  2.50,   15.0,,0,0
MCG-05-54-008,  5.00,  5.00,   15.0,,3,2.5
MCG-05-51-021, 10.00,  2.00,   15.0,,0,0
MCG-05-48-022, 35.00, 10.00,   12.0,NGC 6925,10,4
MCG-05-32-065,  6.00,  4.00,   15.0,,2,1
MCG-05-11-006,  6.00,  6.00,   14.0,,4,4
MCG-05-13-005,  8.00,  5.00,   14.0,,4,2
MCG-05-13-004,  2.00,  1.50,   15.0,NGC 1800,0,0
MCG-05-12-004, 23.00, 16.00,   13.0,NGC 1679,5,2
MCG-05-03-015,  0.00,  0.00,   15.0,NGC  314,3,2
MCG-05-28-004,  8.00,  4.00,   15.0,,2,1
MCG-05-21-001, 24.00,  6.00,   15.0,,0,0
MCG-05-01-035, 10.00,  3.00,   15.0,,0.8,0
MCG-05-56-001, 25.00,  4.00,   14.0,,0,0
MCG-05-26-014, 11.00,  1.50,   15.0,,0,0
MCG-05-29-016,  0.00,  0.00,   16.0,,2,2
MCG-05-29-017, 10.00,  1.50,   16.0,,3,1.5
MCG-05-48-026,  8.00,  4.00,   15.0,,5,1
MCG-05-06-014, 10.00,  4.00,   15.0,,4,2
MCG-05-07-016, 14.00,  6.00,   15.0,,2,2
MCG-05-06-008, 12.00, 10.00,   13.0,NGC  857,4,4
MCG-05-47-019,  5.00,  5.00,   15.0,,2,2
MCG-05-51-035, 12.00,  8.00,   14.0,NGC 7163,2,2
MCG-05-52-007, 20.00, 12.00,   12.0,NGC 7172,8,3
MCG-05-47-015,  8.00,  2.00,   15.0,,0,0
MCG-05-22-007, 10.00, 10.00,   15.0,,2,1
MCG-05-07-001,  6.00,  2.00,   15.0,,0,0
MCG-05-24-007,  7.00,  4.00,   15.0,,0,0
MCG-05-27-014,  6.00,  4.00,   15.0,,1,0.8
MCG-05-01-015,  5.00,  5.00,   14.0,,4,3
MCG-05-47-011,  0.00,  0.00,   14.0,NGC 6841,4,4
MCG-05-55-010,  5.00,  2.00,   16.0,,1.5,1.5
MCG-05-32-028,  8.00,  2.00,   15.0,,0,0
MCG-05-35-008,  8.00,  3.50,   15.0,,0,0
MCG-05-05-009, 10.00,  2.00,   15.0,,3,2
MCG-05-05-001,  6.00,  3.00,   15.0,,0.6,0
MCG-05-23-010, 20.00, 15.00,   14.0,,2.5,1
MCG-05-04-018,  3.00,  2.00,   15.0,,0,0
MCG-05-47-016, 12.00,  8.00,   15.0,,4,2
MCG-05-02-017, 18.00,  8.00,   13.0,NGC  148:,10,4
MCG-05-12-009,  9.00,  5.00,   15.0,,1.5,1
MCG-05-04-013,  2.00,  1.50,   15.0,,0,0
MCG-05-04-012,  3.00,  2.00,   15.0,,0,0
MCG-05-13-002, 10.00, 10.00,   15.0,,1.5,1
MCG-05-23-009, 14.00,  6.00,   13.0,IC 2507,0,0
MCG-05-06-002,  7.00,  7.00,   15.0,,2.5,2.5
MCG-05-04-016,  0.00,  0.00,   14.0,NGC  441,4,3
MCG-05-04-011,  1.50,  1.20,   16.0,,0,0
MCG-05-16-002,  8.00,  6.00,   15.0,,0,0
MCG-05-06-006,  2.50,  2.00,   15.0,,12,6
MCG-05-53-020,  6.00,  4.00,   15.0,,3,2
MCG-05-04-023,  4.00,  2.50,   15.0,,2,1.5
MCG-05-34-003,  8.00,  8.00,   15.0,IC 4388,0,0
MCG-05-04-036, 14.00, 12.00,   14.0,,1.5,1
MCG-05-08-010,  6.00,  4.00,   15.0,,3,2
MCG-05-04-015,  0.00,  0.00,   13.0,NGC  439,6,4
MCG-05-08-020,  6.00,  4.00,   15.0,,1.5,1.5
MCG-05-05-026,  5.00,  2.00,   15.0,,1.5,1.5
MCG-05-11-007,  8.00,  3.00,   15.0,,3,2
MCG-05-29-001, 12.00, 10.00,   15.0,,2.5,2
MCG-05-08-023,  6.00,  4.00,   15.0,,4,3
MCG-05-24-019,  0.00,  0.00,   13.0,NGC 3108,5,4
MCG-05-34-005,  5.00,  4.00,   15.0,IC 4391,0,0
MCG-05-53-018,  4.00,  2.00,   16.0,,0,0
MCG-05-24-018,  0.00,  0.00,   12.0,NGC 3100,5,4
MCG-05-32-007,  4.00,  4.00,   15.0,,2,2
MCG-05-14-024,  5.00,  2.00,   15.0,,0,0
